tracker_entity,tracker_category,sites_present,total_requests,consent_mode,avg_response_size,avg_timing_ms
Seznam.cz,analytics,34,1222,ignore,4264.0,567.7
Seznam.cz,analytics,42,1214,accept,4267.0,537.2
Google,analytics,69,1067,accept,49756.0,752.0
Google,analytics,67,848,reject,55571.0,961.1
Seznam.cz,analytics,33,842,reject,5182.0,671.1
Google,analytics,68,839,ignore,55557.0,1019.6
Google,cdn,37,657,reject,49079.0,780.3
Google,cdn,39,624,accept,48014.0,822.4
Google,cdn,38,574,ignore,42103.0,835.0
Amazon,cdn,4,558,reject,45288.0,6241.5
Amazon,cdn,4,541,accept,47501.0,5410.8
Amazon,cdn,4,505,ignore,37019.0,3063.4
Google,advertising,52,456,accept,37656.0,800.2
Google,advertising,43,396,reject,41361.0,974.5
Google,advertising,44,346,ignore,50766.0,1083.0
Adform,advertising,25,254,accept,13988.0,649.6
Adform,advertising,16,192,reject,20334.0,753.6
Adform,advertising,18,186,ignore,27664.0,699.9
Gemius,analytics,32,155,accept,7059.0,832.6
Gemius,analytics,32,148,ignore,7727.0,792.1
Microsoft,analytics,15,148,accept,609.0,746.7
Google,social,3,139,accept,107893.0,1272.0
Gemius,analytics,31,138,reject,7554.0,977.4
TikTok,social,6,134,accept,7504.0,318.7
Google,social,3,120,reject,114014.0,1551.6
Seznam.cz,advertising,14,113,ignore,1861.0,564.3
Google,social,3,109,ignore,106560.0,968.1
Criteo,advertising,18,106,accept,27.0,607.2
Microsoft,analytics,10,106,reject,597.0,698.4
Microsoft,analytics,10,94,ignore,608.0,685.5
Xandr,advertising,5,94,reject,774.0,207.7
Criteo,advertising,13,86,ignore,43.0,525.5
Xandr,advertising,8,86,accept,369.0,439.0
Criteo,advertising,13,85,reject,43.0,556.6
Seznam.cz,advertising,12,85,accept,2190.0,1220.0
Meta,advertising,29,83,accept,61728.0,928.9
Xandr,advertising,6,82,ignore,524.0,516.3
Cloudflare,cdn,7,72,reject,606.0,235.6
Cloudflare,cdn,7,71,accept,601.0,323.5
Cloudflare,cdn,7,68,ignore,633.0,350.8
Twitter/X,cdn,1,60,ignore,41041.0,2619.7
Twitter/X,cdn,1,60,reject,41041.0,2506.1
LinkedIn,social,1,59,reject,315.0,193.4
Meta,cdn,1,59,accept,20322.0,1288.0
Meta,cdn,1,59,ignore,20322.0,954.0
Meta,cdn,1,59,reject,20322.0,1297.8
Twitter/X,cdn,1,58,accept,41041.0,2798.4
Seznam.cz,advertising,10,51,reject,2253.0,322.1
R2B2,advertising,13,48,reject,228877.0,2996.1
Meta,advertising,16,41,ignore,62092.0,1175.1
R2B2,advertising,13,41,accept,214928.0,3651.4
Meta,advertising,15,40,reject,61388.0,1416.8
TikTok,social,2,38,reject,8733.0,229.8
TikTok,social,2,37,ignore,8556.0,433.5
LinkedIn,social,3,35,accept,665.0,383.4
R2B2,advertising,13,35,ignore,201286.0,7604.8
LinkedIn,cdn,4,31,accept,41385.0,742.4
Meta,social,3,29,accept,29201.0,760.2
Meta,social,3,29,reject,29201.0,1255.2
LinkedIn,cdn,2,28,reject,75140.0,478.3
Microsoft,advertising,5,27,accept,15312.0,259.0
LinkedIn,cdn,2,26,ignore,75140.0,1262.3
Meta,social,3,25,ignore,29201.0,1054.7
LinkedIn,social,1,20,ignore,1050.0,168.2
Adobe,cdn,3,17,accept,46077.0,3663.8
Adobe,cdn,3,17,ignore,46077.0,2832.1
Adobe,cdn,3,17,reject,46077.0,1207.3
Cloudflare,analytics,9,17,accept,,1065.6
Cloudflare,analytics,9,17,reject,,590.1
Cloudflare,analytics,9,16,ignore,,949.6
"Heureka Group",analytics,1,16,accept,,267.0
Twitter/X,social,6,15,accept,9557.0,681.3
"Heureka Group",analytics,1,10,ignore,,447.1
"Heureka Group",analytics,1,10,reject,,108.7
"New Relic",analytics,2,10,reject,6008.0,736.1
Microsoft,advertising,2,8,ignore,15312.0,243.4
Microsoft,advertising,2,8,reject,15312.0,371.8
"New Relic",analytics,1,7,accept,10726.0,1128.7
Twitter/X,social,3,7,ignore,22242.0,285.4
Twitter/X,social,3,7,reject,22242.0,561.6
Hotjar,analytics,5,6,accept,,632.3
"The Trade Desk",advertising,1,5,accept,231.0,1125.2
"New Relic",analytics,1,3,ignore,6008.0,315.5
Hotjar,analytics,2,2,ignore,,191.8
Hotjar,analytics,2,2,reject,,166.4
Sentry,analytics,1,2,accept,22.0,439.7
Quantcast,advertising,1,1,ignore,,1638.5
Sentry,analytics,1,1,ignore,2.0,164.7
Sentry,analytics,1,1,reject,2.0,554.7
