third_party_domain,tracker_entity,tracker_category,consent_mode,requests,sites_present,resource_types
googletagmanager.com,Google,analytics,accept,400,62,"script,document,image"
googletagmanager.com,Google,analytics,ignore,312,61,"script,document,image"
googletagmanager.com,Google,analytics,reject,340,59,"script,document,image"
google.com,Google,analytics,accept,508,47,"script,stylesheet,fetch,document,image,ping,xhr,other"
google-analytics.com,Google,analytics,accept,159,44,"fetch,script,xhr,image"
doubleclick.net,Google,advertising,accept,233,43,"image,script,other,xhr,ping,document,fetch"
seznam.cz,Seznam.cz,analytics,accept,700,40,"script,document,image,fetch,xhr,ping"
google-analytics.com,Google,analytics,ignore,148,40,"fetch,script,xhr,image"
googlesyndication.com,Google,advertising,accept,219,39,"fetch,script,other,image,xhr,document"
google-analytics.com,Google,analytics,reject,166,39,"fetch,script,xhr,image"
googlesyndication.com,Google,advertising,reject,241,38,"fetch,image,script,document,xhr,other"
googlesyndication.com,Google,advertising,ignore,198,37,"fetch,script,other,document,image,xhr"
gstatic.com,Google,cdn,accept,423,36,"font,image,script,stylesheet,other,ping,fetch"
gstatic.com,Google,cdn,ignore,400,35,"image,script,stylesheet,font,other,ping,fetch"
gstatic.com,Google,cdn,reject,452,34,"font,image,script,stylesheet,other,ping,fetch"
seznam.cz,Seznam.cz,analytics,ignore,710,33,"script,image,document,fetch,xhr,ping"
google.com,Google,analytics,reject,342,33,"script,stylesheet,fetch,document,image,ping,xhr,other"
google.com,Google,analytics,ignore,379,32,"document,stylesheet,script,image,xhr,ping,fetch,other"
gemius.pl,Gemius,analytics,accept,155,32,"script,image,document"
gemius.pl,Gemius,analytics,ignore,148,32,"script,image,document"
seznam.cz,Seznam.cz,analytics,reject,498,31,"fetch,script,document,image,xhr,ping"
googleapis.com,Google,cdn,accept,139,31,"stylesheet,script,other,xhr,document"
gemius.pl,Gemius,analytics,reject,138,31,"script,image,document"
googleapis.com,Google,cdn,ignore,120,30,"stylesheet,script,other,xhr,document"
googleapis.com,Google,cdn,reject,138,29,"stylesheet,script,other,xhr,document"
facebook.net,Meta,advertising,accept,83,29,script
google.cz,,,accept,133,28,image
adform.net,Adform,advertising,accept,254,25,"image,fetch,script,xhr,ping"
doubleclick.net,Google,advertising,reject,154,24,"script,other,xhr,ping,image,document,fetch"
doubleclick.net,Google,advertising,ignore,145,24,"image,script,other,ping,xhr,document,fetch"
jsdelivr.net,,,ignore,37,20,"fetch,script,stylesheet,xhr"
jsdelivr.net,,,accept,36,20,"fetch,script,stylesheet,xhr"
cpex.cz,,,reject,108,19,"script,document"
cpex.cz,,,accept,105,19,"script,document"
cpex.cz,,,ignore,105,19,"script,document"
jsdelivr.net,,,reject,34,19,"fetch,script,stylesheet,xhr"
rubiconproject.com,,,accept,211,18,"fetch,script,document,xhr"
rubiconproject.com,,,ignore,188,18,"script,fetch,xhr,document"
adform.net,Adform,advertising,ignore,186,18,"image,script,fetch,xhr,ping,document"
criteo.com,Criteo,advertising,accept,91,18,"fetch,script,document,xhr,image"
privacy-center.org,,,accept,56,18,"script,xhr"
privacy-center.org,,,reject,56,18,"script,xhr"
privacy-center.org,,,ignore,55,18,"script,xhr"
rubiconproject.com,,,reject,209,17,"fetch,script,xhr,document"
adform.net,Adform,advertising,reject,192,16,"image,fetch,script,xhr,ping"
facebook.net,Meta,advertising,ignore,41,16,"script,image"
performax.cz,,,ignore,265,15,"script,xhr,image,fetch,document,stylesheet"
performax.cz,,,accept,259,15,"script,xhr,image,fetch,document,stylesheet"
performax.cz,,,reject,218,15,"script,xhr,image,fetch,document,stylesheet"
clarity.ms,Microsoft,analytics,accept,147,15,"script,xhr,other"
pubmatic.com,,,accept,110,15,"fetch,document,xhr,script"
facebook.net,Meta,advertising,reject,40,15,"script,image"
imedia.cz,Seznam.cz,advertising,ignore,103,14,"image,document,fetch,script,xhr"
pubmatic.com,,,ignore,74,14,"fetch,xhr,document,script,image"
casalemedia.com,,,accept,22,14,fetch
adnxs-simple.com,,,accept,20,14,"fetch,xhr"
sdn.cz,,,ignore,1215,13,"image,stylesheet,script,xhr,media,font,document"
pubmatic.com,,,reject,112,13,"fetch,xhr,document,script"
criteo.com,Criteo,advertising,ignore,72,13,"fetch,xhr,document,script"
criteo.com,Criteo,advertising,reject,71,13,"fetch,xhr,document,script"
r2b2.cz,R2B2,advertising,reject,48,13,"script,xhr"
r2b2.cz,R2B2,advertising,accept,41,13,"script,xhr"
r2b2.cz,R2B2,advertising,ignore,35,13,"script,xhr"
adnxs-simple.com,,,ignore,19,13,"fetch,xhr"
datachine.com,,,accept,18,13,fetch
sdn.cz,,,accept,1212,12,"image,stylesheet,script,xhr,media,font,document"
imedia.cz,Seznam.cz,advertising,accept,77,12,"image,document,script,fetch,xhr"
casalemedia.com,,,reject,27,12,"fetch,image"
casalemedia.com,,,ignore,20,12,fetch
adnxs-simple.com,,,reject,19,12,"fetch,xhr"
datachine.com,,,ignore,16,12,fetch
sdn.cz,,,reject,1095,11,"image,stylesheet,script,xhr,media,font,document"
szn.cz,,,ignore,73,11,"document,script,fetch,other,stylesheet,image"
szn.cz,,,accept,68,11,"document,script,fetch,other,stylesheet,image"
szn.cz,,,reject,65,11,"document,script,fetch,other,stylesheet,image"
datachine.com,,,reject,16,11,fetch
clarity.ms,Microsoft,analytics,reject,105,10,"script,xhr,other"
clarity.ms,Microsoft,analytics,ignore,93,10,"script,xhr,other"
google.cz,,,reject,81,10,image
google.cz,,,ignore,72,10,image
imedia.cz,Seznam.cz,advertising,reject,47,10,"image,document,fetch,script,xhr"
connectad.io,,,reject,15,10,fetch
connectad.io,,,accept,14,10,fetch
connectad.io,,,ignore,14,10,fetch
teads.tv,,,accept,14,10,fetch
teads.tv,,,ignore,13,10,fetch
cloudflareinsights.com,Cloudflare,analytics,accept,17,9,script
cloudflareinsights.com,Cloudflare,analytics,reject,17,9,script
cloudflareinsights.com,Cloudflare,analytics,ignore,16,9,script
teads.tv,,,reject,12,9,fetch
creativecdn.com,,,accept,93,8,"fetch,xhr,document"
adnxs.com,Xandr,advertising,accept,86,8,"fetch,document,xhr,image,script"
creativecdn.com,,,ignore,98,7,"fetch,xhr"
creativecdn.com,,,reject,98,7,"fetch,xhr"
cloudflare.com,Cloudflare,cdn,reject,72,7,"script,document,image,xhr,fetch,stylesheet"
cloudflare.com,Cloudflare,cdn,accept,71,7,"script,document,image,xhr,fetch,stylesheet"
cloudflare.com,Cloudflare,cdn,ignore,68,7,"script,document,image,xhr,fetch,stylesheet"
ytimg.com,Google,cdn,reject,38,7,image
ytimg.com,Google,cdn,accept,36,7,image
ytimg.com,Google,cdn,ignore,34,7,image
wp.pl,,,accept,11,7,fetch
wp.pl,,,ignore,11,7,fetch
2mdn.net,,,accept,8,7,"image,script"
2mdn.net,,,ignore,8,7,"image,script"
