resource_type,is_third_party,consent_mode,requests,avg_size_bytes,total_size_mb
image,1,accept,4939,27832.0,108.21
image,1,ignore,4727,27523.0,103.37
image,1,reject,4671,27639.0,101.77
script,1,accept,3637,48631.0,107.13
script,1,ignore,3326,50597.0,97.62
script,1,reject,3310,50173.0,99.19
image,0,accept,3035,31337.0,71.7
image,0,ignore,2889,32031.0,67.78
image,0,reject,2884,30801.0,71.0
fetch,1,accept,1456,960.0,0.84
script,0,reject,1436,29503.0,22.65
script,0,accept,1434,33818.0,25.25
xhr,1,accept,1434,16108.0,11.18
script,0,ignore,1405,30108.0,22.17
xhr,1,reject,1323,8396.0,4.67
fetch,1,reject,1294,1191.0,0.88
xhr,1,ignore,1292,12500.0,6.78
fetch,1,ignore,1240,1091.0,0.84
fetch,0,reject,645,1478.0,0.27
fetch,0,accept,621,1532.0,0.25
stylesheet,1,accept,562,13685.0,3.72
stylesheet,1,reject,559,13599.0,3.7
fetch,0,ignore,553,1797.0,0.25
stylesheet,1,ignore,538,13956.0,3.66
font,1,reject,478,31327.0,13.74
font,1,accept,464,31810.0,13.53
font,1,ignore,442,33149.0,12.99
document,1,accept,378,31449.0,7.77
document,0,accept,375,11489.0,2.24
document,0,ignore,362,11566.0,2.16
document,1,reject,347,39613.0,8.92
xhr,0,accept,344,2002.0,0.36
stylesheet,0,accept,340,26335.0,5.35
document,1,ignore,331,19411.0,4.02
stylesheet,0,reject,320,26823.0,4.83
stylesheet,0,ignore,319,26576.0,4.87
document,0,reject,307,14168.0,1.99
ping,1,accept,304,1.0,0.0
xhr,0,reject,281,3275.0,0.45
xhr,0,ignore,263,3224.0,0.5
ping,1,reject,205,2.0,0.0
font,0,accept,191,42761.0,6.16
font,0,reject,182,46174.0,6.56
ping,1,ignore,179,2.0,0.0
font,0,ignore,176,41483.0,5.62
other,1,accept,145,32375.0,3.33
other,1,reject,143,35782.0,3.62
other,1,ignore,134,38694.0,3.1
other,0,ignore,132,13895.0,0.37
other,0,accept,130,13415.0,0.37
other,0,reject,129,13895.0,0.37
ping,0,accept,16,51.0,0.0
media,0,accept,15,6804474.0,97.34
media,0,reject,14,5923094.0,79.08
media,0,ignore,13,6535733.0,74.8
ping,0,ignore,10,49.0,0.0
ping,0,reject,10,57.0,0.0
media,1,accept,8,7793716.0,59.46
media,1,ignore,8,7906990.0,60.33
media,1,reject,5,12329483.0,58.79
eventsource,0,accept,1,,
eventsource,0,ignore,1,,
